,Date,VIX,10Y_Treasury_Yield,30Y_Treasury_Yield,Gold_Price,Oil_Price,EUR_USD,GDP,Unemployment_Rate,CPI,PPI,Retail_Sales,Industrial_Production,Non_Farm_Payrolls,Housing_Starts
305,2020-11-15,23.100000381469727,0.8930000066757202,1.6480000019073486,1885.699951171875,40.130001068115234,1.1803393363952637,22024.502,6.8,260.249,196.5,549271.0,96.4292,142493.0,1543.0
306,2020-11-22,23.700000762939453,0.8289999961853027,1.531999945640564,1872.5999755859373,42.150001525878906,1.1866477727890017,22024.502,6.8,260.249,196.5,549271.0,96.4292,142493.0,1543.0
307,2020-11-29,20.84000015258789,0.8420000076293945,1.5740000009536743,1781.9000244140625,45.52999877929688,1.191599726676941,22024.502,6.8,260.249,196.5,549271.0,96.4292,142493.0,1543.0
308,2020-12-06,20.790000915527344,0.968999981880188,1.7300000190734863,1835.9000244140625,46.2599983215332,1.2145650386810305,22024.502,6.8,260.249,196.5,549271.0,96.4292,142493.0,1543.0
309,2020-12-13,23.309999465942383,0.8930000066757202,1.6260000467300415,1839.800048828125,46.56999969482422,1.2144293785095217,22024.502,6.8,260.249,196.5,549271.0,96.4292,142493.0,1543.0
310,2020-12-20,21.56999969482422,0.9480000138282776,1.7000000476837158,1885.699951171875,49.09999847412109,1.226271629333496,22024.502,6.8,260.249,196.5,549271.0,96.4292,142493.0,1543.0
311,2020-12-27,21.530000686645508,0.9279999732971193,1.6640000343322754,1879.9000244140625,48.22999954223633,1.2191405296325684,22024.502,6.8,260.249,196.5,549271.0,96.4292,142493.0,1543.0
312,2021-01-03,22.75,0.9169999957084656,1.6460000276565552,1893.0999755859373,48.52000045776367,1.2299896478652954,22600.185,6.4,262.518,204.8,570510.0,98.7836,142916.0,1639.0
313,2021-01-10,21.559999465942383,1.1050000190734863,1.8630000352859497,1834.0999755859373,52.2400016784668,1.227144479751587,22600.185,6.4,262.518,204.8,570510.0,98.7836,142916.0,1639.0
314,2021-01-17,24.34000015258789,1.097000002861023,1.8530000448226929,1829.300048828125,52.36000061035156,1.2151259183883667,22600.185,6.4,262.518,204.8,570510.0,98.7836,142916.0,1639.0
315,2021-01-24,21.90999984741211,1.090999960899353,1.85699999332428,1855.699951171875,52.27000045776367,1.2166293859481812,22600.185,6.4,262.518,204.8,570510.0,98.7836,142916.0,1639.0
316,2021-01-31,33.09000015258789,1.093000054359436,1.8580000400543213,1847.300048828125,52.20000076293945,1.2120037078857422,22600.185,6.4,262.518,204.8,570510.0,98.7836,142916.0,1639.0
317,2021-02-07,20.8700008392334,1.1699999570846558,1.9739999771118164,1810.9000244140625,56.84999847412109,1.1966731548309326,22600.185,6.4,262.518,204.8,570510.0,98.7836,142916.0,1639.0
318,2021-02-14,19.96999931335449,1.2000000476837158,2.003000020980835,1821.5999755859373,59.470001220703125,1.2131506204605105,22600.185,6.4,262.518,204.8,570510.0,98.7836,142916.0,1639.0
319,2021-02-21,22.049999237060547,1.3450000286102295,2.140000104904175,1775.800048828125,59.2400016784668,1.209189772605896,22600.185,6.4,262.518,204.8,570510.0,98.7836,142916.0,1639.0
320,2021-02-28,27.950000762939453,1.4600000381469729,2.181999921798706,1728.0999755859375,61.5,1.2160420417785645,22600.185,6.4,262.518,204.8,570510.0,98.7836,142916.0,1639.0
321,2021-03-07,24.65999984741211,1.5540000200271606,2.2880001068115234,1698.0,66.08999633789062,1.1967735290527344,22600.185,6.4,262.518,204.8,570510.0,98.7836,142916.0,1639.0
322,2021-03-14,20.690000534057617,1.6349999904632568,2.4019999504089355,1719.5,65.61000061035156,1.1986095905303955,22600.185,6.4,262.518,204.8,570510.0,98.7836,142916.0,1639.0
323,2021-03-21,20.950000762939453,1.7319999933242798,2.450999975204468,1741.4000244140625,61.41999816894531,1.1918240785598757,22600.185,6.4,262.518,204.8,570510.0,98.7836,142916.0,1639.0
324,2021-03-28,18.86000061035156,1.659999966621399,2.367000102996826,1732.199951171875,60.970001220703125,1.1776621341705322,22600.185,6.4,262.518,204.8,570510.0,98.7836,142916.0,1639.0
325,2021-04-04,17.329999923706055,1.6790000200271606,2.3399999141693115,1726.5,61.45000076293945,1.1728830337524414,23292.362,6.1,266.752,217.9,622705.0,98.2886,144593.0,1492.0
326,2021-04-11,16.690000534057617,1.6660000085830688,2.33899998664856,1743.300048828125,59.31999969482422,1.1915684938430786,23292.362,6.1,266.752,217.9,622705.0,98.2886,144593.0,1492.0
327,2021-04-18,16.25,1.5729999542236328,2.260999917984009,1779.0,63.130001068115234,1.1971746683120728,23292.362,6.1,266.752,217.9,622705.0,98.2886,144593.0,1492.0
328,2021-04-25,17.329999923706055,1.5670000314712524,2.250999927520752,1777.0,62.13999938964844,1.2014753818511963,23292.362,6.1,266.752,217.9,622705.0,98.2886,144593.0,1492.0
329,2021-05-02,18.61000061035156,1.63100004196167,2.3010001182556152,1767.300048828125,63.58000183105469,1.2127091884613037,23292.362,6.1,266.752,217.9,622705.0,98.2886,144593.0,1492.0
330,2021-05-09,16.690000534057617,1.5770000219345093,2.2769999504089355,1831.0999755859373,64.9000015258789,1.2068549394607544,23292.362,6.1,266.752,217.9,622705.0,98.2886,144593.0,1492.0
331,2021-05-16,18.809999465942383,1.6349999904632568,2.3550000190734863,1837.9000244140625,65.37000274658203,1.207729458808899,23292.362,6.1,266.752,217.9,622705.0,98.2886,144593.0,1492.0
332,2021-05-23,20.14999961853028,1.631999969482422,2.3329999446868896,1876.699951171875,63.58000183105469,1.222538709640503,23292.362,6.1,266.752,217.9,622705.0,98.2886,144593.0,1492.0
333,2021-05-30,16.760000228881836,1.5809999704360962,2.263000011444092,1902.5,66.31999969482422,1.2193188667297363,23292.362,6.1,266.752,217.9,622705.0,98.2886,144593.0,1492.0
334,2021-06-06,16.420000076293945,1.559999942779541,2.239000082015991,1889.800048828125,69.62000274658203,1.213300704956055,23292.362,6.1,266.752,217.9,622705.0,98.2886,144593.0,1492.0
335,2021-06-13,15.649999618530272,1.462000012397766,2.1519999504089355,1877.4000244140625,70.91000366210938,1.2172558307647705,23292.362,6.1,266.752,217.9,622705.0,98.2886,144593.0,1492.0
336,2021-06-20,20.700000762939453,1.4500000476837158,2.0269999504089355,1767.9000244140625,71.63999938964844,1.1913414001464844,23292.362,6.1,266.752,217.9,622705.0,98.2886,144593.0,1492.0
337,2021-06-27,15.619999885559082,1.5360000133514404,2.1689999103546143,1776.5999755859375,74.05000305175781,1.1930327415466309,23292.362,6.1,266.752,217.9,622705.0,98.2886,144593.0,1492.0
338,2021-07-04,15.06999969482422,1.430999994277954,2.0450000762939453,1782.5999755859375,75.16000366210938,1.1846235990524292,23828.973,5.4,271.994,231.85,612647.0,100.1231,146761.0,1600.0
339,2021-07-11,16.18000030517578,1.3559999465942385,1.98199999332428,1810.0,74.55999755859375,1.184800386428833,23828.973,5.4,271.994,231.85,612647.0,100.1231,146761.0,1600.0
340,2021-07-18,18.450000762939453,1.2999999523162842,1.930999994277954,1814.5,71.80999755859375,1.1811814308166504,23828.973,5.4,271.994,231.85,612647.0,100.1231,146761.0,1600.0
341,2021-07-25,17.200000762939453,1.2860000133514404,1.924999952316284,1801.4000244140625,72.06999969482422,1.177273869514465,23828.973,5.4,271.994,231.85,612647.0,100.1231,146761.0,1600.0
342,2021-08-01,18.239999771118164,1.2389999628067017,1.8969999551773071,1812.5999755859373,73.94999694824219,1.189299702644348,23828.973,5.4,271.994,231.85,612647.0,100.1231,146761.0,1600.0
343,2021-08-08,16.149999618530273,1.2899999618530271,1.934000015258789,1760.0,68.27999877929688,1.1835720539093018,23828.973,5.4,271.994,231.85,612647.0,100.1231,146761.0,1600.0
344,2021-08-15,15.449999809265137,1.2970000505447388,1.9479999542236328,1775.199951171875,68.44000244140625,1.173626184463501,23828.973,5.4,271.994,231.85,612647.0,100.1231,146761.0,1600.0
345,2021-08-22,18.559999465942383,1.2599999904632568,1.8739999532699585,1781.0,62.31999969482422,1.1676595211029053,23828.973,5.4,271.994,231.85,612647.0,100.1231,146761.0,1600.0
346,2021-08-29,16.389999389648438,1.312000036239624,1.9179999828338623,1816.5999755859373,68.73999786376953,1.1756407022476196,23828.973,5.4,271.994,231.85,612647.0,100.1231,146761.0,1600.0
347,2021-09-05,16.40999984741211,1.3220000267028809,1.9429999589920044,1830.9000244140625,69.29000091552734,1.1876484155654907,23828.973,5.4,271.994,231.85,612647.0,100.1231,146761.0,1600.0
348,2021-09-12,20.950000762939453,1.340999960899353,1.934000015258789,1789.5999755859375,69.72000122070312,1.182592272758484,23828.973,5.4,271.994,231.85,612647.0,100.1231,146761.0,1600.0
