Date,Time,VIX,10Y_Treasury_Yield,30Y_Treasury_Yield,Gold_Price,Oil_Price,EUR_USD,GDP,Unemployment_Rate,CPI,PPI,Retail_Sales,Industrial_Production,Non_Farm_Payrolls,Housing_Starts
8/13/2017,10:20,-0.25463766,0.043099612,0.14402857,-0.6877171,-0.31330913,0.12332128,-0.6287011,-0.35018167,-0.6018797,-0.5326327,-0.7689673,0.21795677,-0.10640821,-0.50522745
8/20/2017,11:20,-0.2587798,0.04259789,0.21878327,-0.6316979,-0.3472873,0.14173344,-0.6354619,-0.33046457,-0.5794135,-0.5735091,-0.7869474,0.22121309,-0.058439136,-0.52378684
8/27/2017,12:20,-0.25312257,0.03810873,0.19057107,-0.64368445,-0.34465328,0.20198332,-0.7306272,-0.30404222,-0.5729158,-0.57668984,-0.82865435,0.24262387,-0.09363746,-0.4665515
9/3/2017,13:20,-0.22052303,0.03355439,0.124981195,-0.63468885,-0.40256846,0.20425583,-0.6867522,-0.31355563,-0.5927387,-0.5966536,-0.7760476,0.1933881,-0.13003571,-0.5099565
9/10/2017,14:20,-0.21624514,-0.005347753,0.053000204,-0.5494957,-0.36059496,0.20074263,-0.68072855,-0.2673034,-0.6733785,-0.5965222,-0.7608039,0.11284102,-0.09249675,-0.4980789
9/17/2017,15:20,-0.2806241,0.049676128,0.03962548,-0.5646473,-0.4472969,0.1986801,-0.69684505,-0.27151853,-0.6495218,-0.6155865,-0.7442191,0.043819033,-0.12709093,-0.5463708
9/24/2017,16:20,-0.23956074,-0.022322657,0.011458457,-0.5560024,-0.47247607,0.13815275,-0.72136986,-0.29699886,-0.60686827,-0.5813862,-0.8156986,-0.020326545,-0.15489838,-0.5569777
10/1/2017,17:20,-0.256558,0.087492466,0.086017355,-0.5760115,-0.5122702,0.13708387,-0.690063,-0.22834921,-0.6074535,-0.55012465,-0.876325,0.002989033,-0.14169821,-0.5298304
10/8/2017,18:20,-0.20686486,0.042508274,0.075323224,-0.5496364,-0.5318696,0.24910492,-0.66926706,-0.1372189,-0.54509073,-0.5280174,-0.8504421,-0.001078611,-0.184297,-0.5497217
10/15/2017,19:20,-0.3071337,-0.03539624,0.11186133,-0.5945897,-0.50597715,0.14746526,-0.68338084,-0.1226923,-0.50639325,-0.5585121,-0.8581806,0.057032727,-0.16524173,-0.5109015
10/22/2017,20:20,-0.26690575,-0.006312726,0.099592246,-0.5409433,-0.45087358,0.17320213,-0.5887635,-0.17515822,-0.5784385,-0.5621104,-0.73004526,0.118396394,-0.15769163,-0.4889802
10/29/2017,21:20,-0.3013011,-0.057448663,0.11707044,-0.5606749,-0.41468146,0.1035678,-0.59955466,-0.15650046,-0.55850416,-0.5834973,-0.68250287,0.11565713,-0.08928513,-0.49012357
11/5/2017,22:20,-0.25642958,-0.032457,0.13897517,-0.630754,-0.38149288,0.1041628,-0.6124053,-0.21392775,-0.55442935,-0.54002213,-0.67519605,0.12805031,-0.06458727,-0.50491416
11/12/2017,23:20,-0.19653521,0.00677149,0.124550655,-0.5665935,-0.4077516,0.10235972,-0.56377566,-0.18945342,-0.5521438,-0.48569015,-0.65057445,0.089411974,-0.036545932,-0.5452801
11/19/2017,0:20,-0.21414985,0.033452436,0.15155357,-0.6165265,-0.36627775,0.08855868,-0.609213,-0.16400196,-0.52020085,-0.4889299,-0.6619409,0.16948384,-0.03641549,-0.4326231
11/26/2017,1:20,-0.24041925,0.035516754,0.1691109,-0.6037705,-0.36557868,0.14345859,-0.6165904,-0.18349601,-0.51045674,-0.52837753,-0.6446812,0.2455669,-0.122429855,-0.46220663
12/3/2017,2:20,-0.23201421,0.020948632,0.18930414,-0.6262483,-0.33460936,0.087860815,-0.6440865,-0.21276525,-0.5033608,-0.5614011,-0.6498265,0.2475766,-0.062895976,-0.4378203
12/10/2017,3:20,-0.18274137,0.047720283,0.13357362,-0.61589605,-0.3106349,0.11845424,-0.6076852,-0.21120252,-0.50619996,-0.4880794,-0.611864,0.2067841,-0.0819528,-0.4589355
